Key,Description,Standard,ZH,EN,JP
SAY.Flowchart.1.Mia,,疼疼疼...,疼疼疼...,Ouch! ,痛いよ、痛いよ、痛いよ...
SAY.Flowchart.4.,,"隨後米婭眼前一片漆黑,徹底地失去了意識。環顧四周,發現他墜落在一個洞穴中。洞穴只有一條通往更深的道路,彷彿在告訴落入陷阱的人他並沒有太多的選擇。","隨後米婭眼前一片漆黑,徹底地失去了意識。環顧四周,發現他墜落在一個洞穴中。洞穴只有一條通往更深的道路,彷彿在告訴落入陷阱的人他並沒有太多的選擇。","Mia's eyes went black and he lost all consciousness. Looking around, he realized he had fallen into a cave. There was only one path that led deeper into the cave, as if to tell those who had fallen into the trap that they didn't have much of a choice.",ミアの目の前が真っ暗になり、意識を失った。 辺りを見回すと、彼は洞窟に落ちたことに気づいた。 洞窟の奥へと続く道は一本しかなく、まるで罠に落ちた者に選択の余地はないと教えているかのようだ。
SAY.Flowchart.3.Mia,,"躡手躡腳的往洞窟深處邁進,進到一個小房間,隨後看到不遠處有一把梯子。","躡手躡腳的往洞窟深處邁進,進到一個小房間,隨後看到不遠處有一把梯子。","Having crept deeper into the cave,  entered a small room and then saw a ladder not far away.",洞窟の奥深くまで忍び込んだは、小さな部屋に入り、そう遠くないところに梯子が見えた。
SAY.Flowchart.35.,,"米婭急忙像是看到救命稻草快速的跑向梯子,突然,米婭被腳下的繩子拌了一跤","米婭急忙像是看到救命稻草快速的跑向梯子,突然,米婭被腳下的繩子拌了一跤","Mia rushed to the ladder as if she had seen a lifeline, and suddenly, Mia fell on the rope under her feet.",ミアは命綱を見たかのように梯子に駆け寄ったが、突然、足元のロープに倒れこんだ。
SAY.Flowchart.36.Mia,,哎呀!,哎呀!,Oops!,おっと！
SAY.Flowchart.37.,,"米婭撐著地板起身,卻發現原本梯子所在的地方不見了。","米婭撐著地板起身,卻發現原本梯子所在的地方不見了。",Mia gets up on the floor and realises that the ladder is gone where it used to be.,ミアは床で体を支えながら立ち上がったが、はしごがなくなっていた。
SAY.Flowchart.38.Mia,,咦?梯子呢?,咦?梯子呢?,Eh? Where's the ladder?,おや？ 梯子はどだ？
SAY.Flowchart.39.,,"還沒等米婭說完,剛才絆倒米婭的繩子像是活過來一般,朝著米婭的腳下甩了過來。","還沒等米婭說完,剛才絆倒米婭的繩子像是活過來一般,朝著米婭的腳下甩了過來。","Before Mia could finish her sentence, the rope that had tripped Mia seemed to come to life and flung itself at Mia's feet.",ミアがその言葉を言い終わる前に、彼女がミアを引っ掛けたロープが息を吹き返したようにミアの足元に飛んできた。
SAY.Flowchart.40.Mia,,咿呀!,咿呀!,Eeeeeeeeeeee?,えええおおおおおおお？
SAY.Flowchart.41.,,"突然之間,牆壁上、地上竄出許許多多觸手朝著米婭纏去,瞬間,米婭被觸手纏得密不通風。","突然之間,牆壁上、地上竄出許許多多觸手朝著米婭纏去,瞬間,米婭被觸手纏得密不通風。","Suddenly, many tentacles appeared on the wall and on the ground and wrapped around Mia. In an instant, Mia was entangled tightly by the tentacles.",突然、壁や床から無数の触手がミアに向かって飛び出し、一瞬にしてミアは触手の網に包まれた。
SAY.Flowchart.42.Mia,,嗚嗚....這是甚麼?,嗚嗚....這是甚麼?,Woohoo....what is this?,うおおお……これは何だ？
SAY.Flowchart.43.Mia,,放開我!唔...這是什麼噁心的東西?,放開我!唔...這是什麼噁心的東西?,Let go of me! Well... What is this disgusting thing?,放してくれ まあ... この嫌なものは何だ？
